edge_id,pair_id,source,target,domain,weight,source_name,target_name,source_institution,target_institution,source_country,target_country
ahmed-s--khan-p#tb,ahmed-s--khan-p,ahmed-s,khan-p,tb,3,"Ahmed, Saman","Khan, Palwasha Y",,London School of Hygiene & Tropical Medicine,Pakistan,Singapore
ahmed-s--khan-u#tb,ahmed-s--khan-u,ahmed-s,khan-u,tb,3,"Ahmed, Saman","Khan, Uzma",,,Pakistan,Singapore
ahmed-s--mitnick-c#tb,ahmed-s--mitnick-c,ahmed-s,mitnick-c,tb,3,"Ahmed, Saman","Mitnick, Carole D",,Harvard University,Pakistan,United States
ahmed-s--rich-m#tb,ahmed-s--rich-m,ahmed-s,rich-m,tb,3,"Ahmed, Saman","Rich, Michael L",,,Pakistan,United States
ahmed-s--seung-k#tb,ahmed-s--seung-k,ahmed-s,seung-k,tb,3,"Ahmed, Saman","Seung, Kwonjune J",,Harvard University,Pakistan,United States
bastard-m--skrahina-a#tb,bastard-m--skrahina-a,bastard-m,skrahina-a,tb,3,"Bastard, Mathieu","Skrahina, Alena",,,France,
bastard-m--stagg-h#tb,bastard-m--stagg-h,bastard-m,stagg-h,tb,3,"Bastard, Mathieu","Stagg, Helen R",,London School of Hygiene & Tropical Medicine,France,United Kingdom
bastard-m--tefera-g#tb,bastard-m--tefera-g,bastard-m,tefera-g,tb,3,"Bastard, Mathieu","Tefera, Girum Bayissa",,,France,
franke-m--skrahina-a#tb,franke-m--skrahina-a,franke-m,skrahina-a,tb,3,"Franke, Molly","Skrahina, Alena",Harvard University,,United States,
franke-m--stagg-h#tb,franke-m--stagg-h,franke-m,stagg-h,tb,3,"Franke, Molly","Stagg, Helen R",Harvard University,London School of Hygiene & Tropical Medicine,United States,United Kingdom
franke-m--tefera-g#tb,franke-m--tefera-g,franke-m,tefera-g,tb,3,"Franke, Molly","Tefera, Girum Bayissa",Harvard University,,United States,
guglielmetti-l--khan-u#tb,guglielmetti-l--khan-u,guglielmetti-l,khan-u,tb,3,"Guglielmetti, Lorenzo","Khan, Uzma",,,Italy,Singapore
guglielmetti-l--rich-m#tb,guglielmetti-l--rich-m,guglielmetti-l,rich-m,tb,3,"Guglielmetti, Lorenzo","Rich, Michael L",,,Italy,United States
hewison-c--skrahina-a#tb,hewison-c--skrahina-a,hewison-c,skrahina-a,tb,3,"Hewison, Catherine","Skrahina, Alena",,,France,
hewison-c--stagg-h#tb,hewison-c--stagg-h,hewison-c,stagg-h,tb,3,"Hewison, Catherine","Stagg, Helen R",,London School of Hygiene & Tropical Medicine,France,United Kingdom
